Timestamp,Threat Type,Source IP,Destination IP,Ports
2025-12-15 22:10:21,Possible DDoS,172.64.155.209,N/A,58538
2025-12-15 22:10:23,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 22:10:48,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 22:10:50,Possible DDoS,172.64.155.209,N/A,58538
2025-12-15 22:13:14,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 22:13:17,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 22:13:19,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 22:13:21,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 22:13:23,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 22:13:25,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 22:13:27,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 22:17:02,Port Scanning,192.168.1.1,N/A,"[58082, 51523, 53127, 62827, 54542, 54131, 54456, 57561, 62522, 51323, 55257]"
2025-12-15 22:17:04,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 22:17:11,Port Scanning,192.168.1.1,N/A,"[54304, 57632, 64675, 62250, 56812, 55949, 59603, 56567, 59290, 51963, 57758]"
2025-12-15 22:17:13,Port Scanning,192.168.1.1,N/A,"[63937, 59618, 52259, 63143, 54089, 53932, 58799, 54165, 60566, 56633, 55838]"
2025-12-15 22:17:15,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 22:17:18,Port Scanning,192.168.1.1,N/A,"[64067, 49894, 58505, 51018, 60078, 59630, 54033, 56404, 59062, 51096, 57275]"
2025-12-15 22:17:29,Port Scanning,192.168.1.1,N/A,"[49632, 57570, 52483, 59398, 60332, 58802, 63231, 57814, 63542, 58232, 51263]"
2025-12-15 22:17:31,Possible DDoS,103.230.151.225,N/A,28416
2025-12-15 22:17:34,Possible DDoS,103.230.151.225,N/A,28416
2025-12-15 22:17:36,Port Scanning,192.168.1.1,N/A,"[53824, 52837, 56486, 61991, 56909, 62510, 54893, 58416, 62385, 59762, 60574]"
2025-12-15 22:17:38,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 22:17:41,Possible DDoS,103.230.151.225,N/A,36363
2025-12-15 22:17:43,Possible DDoS,103.230.151.225,N/A,36363
2025-12-15 22:17:46,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 22:17:49,Possible DDoS,103.230.151.202,N/A,3986
2025-12-15 22:17:51,Possible DDoS,103.230.151.202,N/A,3986
2025-12-15 22:17:54,Possible DDoS,103.230.151.202,N/A,3986
2025-12-15 22:17:56,Possible DDoS,192.168.1.106,N/A,443
